_id,category1,category2,maker,category3,standard,vehicleType,year,mainPrice,privatePrice
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2016 23,400,000 23,400,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2016,"23,400,000","23,400,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2017 25,600,000 25,600,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2017,"25,600,000","25,600,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3.5톤 (3.5T) 삼익하이코3.5톤지게차 (HI01D) 2018 27,700,000 27,700,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3.5톤 (3.5T),삼익하이코3.5톤지게차 (HI01D),2018,"27,700,000","27,700,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 1999 2,600,000 2,600,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),1999,"2,600,000","2,600,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2000 3,000,000 3,000,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2000,"3,000,000","3,000,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2001 3,700,000 3,700,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2001,"3,700,000","3,700,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2002 4,500,000 4,500,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2002,"4,500,000","4,500,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2003 5,700,000 5,700,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2003,"5,700,000","5,700,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2004 6,400,000 6,400,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2004,"6,400,000","6,400,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2005 7,300,000 7,300,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2005,"7,300,000","7,300,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2006 7,900,000 7,900,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2006,"7,900,000","7,900,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2007 8,700,000 8,700,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2007,"8,700,000","8,700,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2008 9,400,000 9,400,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2008,"9,400,000","9,400,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2009 10,200,000 10,200,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2009,"10,200,000","10,200,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2010 10,900,000 10,900,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2010,"10,900,000","10,900,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2011 12,100,000 12,100,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2011,"12,100,000","12,100,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2012 13,900,000 13,900,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2012,"13,900,000","13,900,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2013 14,900,000 14,900,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2013,"14,900,000","14,900,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2014 15,900,000 15,900,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2014,"15,900,000","15,900,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2015 16,800,000 16,800,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2015,"16,800,000","16,800,000"
